,index,code,company,loss,profit,Ratio
0,91,ONE97,One 97 Communications Ltd.,-149.0999999999998,315.9000000000002,2.1187122736418553
1,34,BAFINS,Bajaj Finserv Ltd.,-4590.65000000002,9286.299999999994,2.0228725779573598
2,63,BAJFI,Bajaj Finance Ltd.,-3038.749999999998,5136.45,1.6903167420814489
3,58,STABAN,State Bank of India,-189.45,310.8500000000003,1.640802322512538
4,40,AVESUP,Avenue Supermarts Ltd.,-1423.699999999998,2260.0,1.5874130785980214
5,21,INDRAI,Indian Railway Catering And Tourism Corporation Ltd.,-516.2500000000017,785.9000000000002,1.5223244552058066
6,5,MARUTI,Maruti Suzuki India Ltd.,-3259.849999999993,4958.25,1.5210055677408503
7,2,UNISPI,United Spirits Ltd.,-213.1999999999997,323.9499999999999,1.5194652908067556
8,17,HDFC,Housing Development Finance Corporation Ltd.,-1154.399999999998,1744.549999999998,1.5112179487179496
9,83,ICIBAN,ICICI Bank Ltd.,-284.9499999999995,428.1499999999996,1.502544306018601
10,79,MPHLIM,MphasiS Ltd.,-1146.300000000002,1721.549999999999,1.5018319811567618
11,22,HINDAL,Hindalco Industries Ltd.,-192.9499999999998,286.6,1.4853589012697608
12,96,DRREDD,Dr. Reddy's Laboratories Ltd.,-1957.250000000002,2903.499999999993,1.4834589347298455
13,36,NESIND,Nestle India Ltd.,-7178.150000000012,10547.0,1.4693200894380838
14,37,SBICAR,SBI Cards and Payment Services Ltd.,-322.9500000000004,468.9499999999999,1.4520823656912814
15,94,HCLTEC,HCL Technologies Ltd.,-433.5500000000002,621.9999999999994,1.4346672817437416
16,13,JSWSTE,JSW Steel Ltd.,-283.6999999999999,405.9500000000003,1.430912936200213
17,15,GRASIM,Grasim Industries Ltd.,-822.0000000000005,1166.95,1.4196472019464712
18,78,HDFAMC,HDFC Asset Management Company Ltd.,-1394.599999999999,1969.15,1.4119819303025969
19,67,TATGLO,Tata Consumer Products Ltd.,-273.4,378.6499999999996,1.384967081199706
20,16,AMBCE,Ambuja Cements Ltd.,-193.3999999999998,267.1999999999998,1.381592554291624
21,6,INTAVI,InterGlobe Aviation Ltd.,-1191.500000000001,1646.049999999999,1.3814939152328978
22,90,FSNECO,FSN E-Commerce Ventures Ltd.,-284.1000000000008,392.05,1.3799718409010873
23,66,TATPOW,Tata Power Co. Ltd.,-76.14999999999998,104.7999999999999,1.376231122783978
24,76,MARLIM,Marico Ltd.,-245.6500000000007,337.8500000000001,1.3753307551394225
